 27  +0 +0 +0 -.37834964416096E-12
 28  +0 +0 +0 -.18457520804056E-12
 29  +0 +0 +0 -.19743378158138E-12
 30  +0 +0 +0 -.55446306885056E-13
 31  +0 +0 +0 -.35203934541688E-13
 32  +0 +0 +0 -.36831511850625E-13
 33  +0 +0 +0 -.31759250407313E-13
 34  +0 +0 +0 -.31313673431044E-12
 35  +0 +0 +0 -.17067025153075E-12
 36  +0 +0 +0 -.25584064770556E-12
 37  +0 +0 +0 -.12445906975021E-12
 38  +0 +0 +0 -.37896816656419E-12
 39  +0 +0 +0 -.72983598642688E-13
 40  +0 +0 +0 -.70387039208125E-13
 41  +0 +0 +0 -.27259317056187E-12
 42  +0 +0 +0 +.30425622518981E-13
 43  +0 +0 +0 -.11778532606375E-12
 44  +0 +0 +0 -.53191368482631E-12
 45  +0 +0 +0 -.45849845921937E-12
 46  +0 +0 +0 -.18126961076075E-11
 47  +0 +0 +0 -.84743905811313E-12
 48  +0 +0 +0 +.72855439620438E-12
 49  +0 +0 +0 -.25147598895375E-11
 50  +0 +0 +0 -.33803363574750E-11
 51  +0 +0 +0 -.11508957912512E-10
 52  +0 +0 +0 -.19640737126625E-10
 53  +0 +0 +0 -.11611469845662E-10
 54  +0 +0 +0 -.15890641681250E-11
 55  +0 +0 +0 +.10673198231875E-10
 56  +0 +0 +0 +.14605624320000E-10
 57  +0 +0 +0 -.39185005216875E-10
 58  +0 +0 +0 -.34445200717500E-09
 59  +0 +0 +0 -.65493978091250E-09
 60  +0 +0 +0 -.10157967069438E-08
 61  +0 +0 +0 -.29089657940000E-08
 62  +0 +0 +0 -.73426804585000E-08
 63  +0 +0 +0 -.25303307363813E-07
  0  +0 +0 +0 +.24687604164231E-07
  1  +0 +0 +0 +.79324236642313E-07
  2  +0 +0 +0 +.32889040284394E-07
  3  +0 +0 +0 +.17472617254556E-07
  4  +0 +0 +0 +.10679562248575E-07
  5  +0 +0 +0 +.62357807394875E-08
  6  +0 +0 +0 +.36770391774000E-08
  7  +0 +0 +0 +.19642113086544E-08
  8  +0 +0 +0 +.10384485738431E-08
  9  +0 +0 +0 +.64435469918225E-09
 10  +0 +0 +0 +.35631560006648E-09
 11  +0 +0 +0 +.19794759736281E-09
 12  +0 +0 +0 +.13410874676807E-09
 13  +0 +0 +0 +.76944661366125E-10
 14  +0 +0 +0 +.45458032843671E-10
 15  +0 +0 +0 +.27281315159162E-10
 16  +0 +0 +0 +.21348542525746E-10
 17  +0 +0 +0 +.17035145991046E-10
 18  +0 +0 +0 +.10072588832875E-10
 19  +0 +0 +0 +.72197088445775E-11
 20  +0 +0 +0 +.65345957659625E-11
 21  +0 +0 +0 +.55586928148313E-11
 22  +0 +0 +0 +.31775400856396E-11
 23  +0 +0 +0 +.30608644423383E-11
 24  +0 +0 +0 +.28105315427587E-11
 25  +0 +0 +0 +.18695402148691E-11
 26  +0 +0 +0 +.10986605773181E-11
 27  +0 +0 +0 +.50568998021338E-12
 28  +0 +0 +0 +.44361281783587E-12
 29  +0 +0 +0 +.28390204060337E-12
 30  +0 +0 +0 +.17700508643154E-12
 31  +0 +0 +0 +.62293369031812E-13
 32  +0 +0 +0 -.10963845697631E-12
 33  +0 +0 +0 -.70696049064062E-13
 34  +0 +0 +0 -.18288651394125E-14
 35  +0 +0 +0 +.29668741338625E-13
 36  +0 +0 +0 +.44823960776125E-13
 37  +0 +0 +0 -.59928229822500E-14
 38  +0 +0 +0 -.14056908778125E-12
 39  +0 +0 +0 -.34205081770337E-12
 40  +0 +0 +0 -.43298434620375E-12
 41  +0 +0 +0 -.67173437644800E-12
 42  +0 +0 +0 -.51505161145150E-12
 43  +0 +0 +0 -.13489730747650E-11
